id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
1_59,0.704819,0.393162,3.007114,4.252701999999999,0.510653,22.653431,0.393162,0.315789,1.894737,0.9733290000000001,0.05128200000000001,0.153846,0.025641000000000004,0.042735,0.06837599999999999,0.0,3.769230769,1.277311,5.9,4.538462,1.3,0.038462,0.05,0.09615399999999999,0.125,2.615385,6.9,3.4,0.3,3.833333,3.8529410000000004,3.0,5.877301
1_61,0.673077,0.509434,3.708735,5.244944,0.558964,34.0366,0.504762,0.692308,6.2307690000000004,1.765045,0.085714,0.171429,0.019048,0.028571,0.047619,0.0,4.1981132080000005,1.357143,5.5263160000000005,4.2,1.3157889999999999,0.16,0.21052600000000002,0.0,0.0,2.76,9.526316,3.631579,0.8947370000000001,4.4088400000000005,3.869565,3.176471,6.525641
1_63,0.719577,0.48529399999999995,4.001837999999999,5.659453,0.518303,35.026156,0.48529399999999995,0.722222,9.388889,2.166667,0.095588,0.132353,0.029412,0.073529,0.102941,0.0,4.007352941000001,1.328571,6.8,4.121212,1.65,0.0,0.0,0.0,0.0,1.30303,6.4,2.15,0.5,4.648438,4.3953489999999995,3.8,6.214876
1_65,0.680723,0.60177,4.523293,6.396902,0.5726600000000001,50.575132,0.60177,0.764706,9.941175999999999,2.229482,0.11504400000000001,0.185841,0.035398,0.088496,0.123894,0.0,3.902654867,1.230769,5.380952,3.53125,1.52381,0.09375,0.14285699999999998,0.0,0.0,3.15625,5.52381,4.809524,0.428571,4.146552,3.851485,3.777778,8.0
1_67,0.683871,0.5,3.6400550000000003,5.1478150000000005,0.556345,32.809073,0.5,0.714286,7.142857000000001,1.8898220000000001,0.09434,0.198113,0.028301999999999997,0.037736,0.066038,0.0,4.150943396000001,1.361111,5.631579,3.821429,1.473684,0.0,0.0,0.0,0.0,0.678571,3.842105,1.0,0.263158,4.753425,3.947368,4.4,5.324324
1_69,0.797203,0.626087,4.747539,6.714035000000001,0.575348,56.349837,0.622807,1.0,6.0,1.7320509999999998,0.052632000000000005,0.175439,0.078947,0.070175,0.149123,0.0,3.956521739,1.280702,7.125,4.56,1.5625,0.0,0.0,0.0,0.0,1.48,2.875,2.3125,1.0,4.021739,4.0270269999999995,3.3125,5.957447
1_71,0.705882,0.5,3.872983,5.477226,0.539223,34.891357,0.5,0.611111,6.722222,1.833333,0.091667,0.158333,0.016666999999999998,0.041667,0.058333,0.0,4.575,1.447154,5.714286,4.444444,1.285714,0.185185,0.23809499999999997,0.0,0.0,2.407407,3.666667,3.095238,0.380952,5.077922,4.584615,3.5,6.906475
1_73,0.753731,0.633663,4.503024,6.368238,0.597022,54.693598,0.633663,0.9,16.2,2.84605,0.17821800000000002,0.158416,0.039604,0.06930700000000001,0.108911,0.007462999999999999,3.702970297,1.223301,5.722222,4.478261,1.277778,0.086957,0.11111099999999999,0.043477999999999996,0.055555999999999994,2.391304,2.555556,3.055556,0.555556,3.152174,3.981818,3.8,5.394737
1_75,0.7341770000000001,0.534483,4.070499,5.7565550000000005,0.552833,39.226687,0.534483,0.833333,8.333333,2.041241,0.086207,0.12069,0.034483,0.068966,0.103448,0.0,4.267241379,1.362069,6.823529,6.105263,1.1176469999999998,0.10526300000000001,0.117647,0.052632000000000005,0.058824,3.105263,6.411765,3.470588,0.647059,4.091743,4.0,3.7272730000000003,6.356164
1_77,0.678571,0.46087,3.4947169999999996,4.942275,0.534131,29.357557,0.45614,0.666667,6.6666669999999995,1.8257419999999998,0.087719,0.10526300000000001,0.070175,0.026316000000000003,0.096491,0.0,3.730434783,1.282051,5.7,3.9310339999999995,1.45,0.034483,0.05,0.0,0.0,1.37931,4.0,2.0,0.4,3.825,3.7,3.5,5.8048779999999995
